Entity,Label,Ner_model,go_output,umls_output,mesh_output,hpo_output
membrane,GO,craft,"[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]"
wildtype MHV,SO,craft,[wildtype],[wildtype],[wildtype],[wildtype]
cDNA fragments,SO,craft,[cDNA fragments],[cDNA fragments],[cDNA fragments],[cDNA fragments]
Syncytia,CL,craft,[Syncytia],[Syncytia],[Syncytia],[Syncytia]
T7 promoter,GGP,craft,[T7],[T7],[T7],[T7]
subgenomic mRNAs,SO,craft,[subgenomic],[subgenomic],[subgenomic],[subgenomic]
carboxy terminus,SO,craft,[carboxy],[carboxy],[carboxy],[carboxy]
positive-strand,SO,craft,[positive-strand],[positive-strand],[positive-strand],[positive-strand]
mutants,SO,craft,[mutants],[mutants],[mutants],[mutants]
feline,TAXON,craft,[feline],[feline],[feline],[feline]
remove,SO,craft,[remove],[remove],[remove],[remove]
experimentally,SO,craft,[experimentally],[experimentally],[experimentally],[experimentally]
multinucleated syncytia,CL,craft,[multinucleated],[multinucleated],[multinucleated],[multinucleated]
antileader sequences,CHEBI,craft,[antileader sequences],[antileader sequences],[antileader sequences],[antileader sequences]
complexes,GO,craft,[complexes],[complexes],[complexes],[complexes]
mice,TAXON,craft,[mice],[mice],[mice],[mice]
viral nucleocapsids,TAXON,craft,[viral nucleocapsids],[viral nucleocapsids],[viral nucleocapsids],[viral nucleocapsids]
recognition site,SO,craft,[recognition site],[recognition site],[recognition site],[recognition site]
humans,TAXON,craft,[humans],[humans],[humans],[humans]
regions,SO,craft,[regions],[regions],[regions],[regions]
angiotensin converting enzyme 2,GGP,craft,[angiotensin],[angiotensin],[angiotensin],[angiotensin]
mutated,SO,craft,[mutated],[mutated],[mutated],[mutated]
mutagenesis,SO,craft,[mutagenesis],[mutagenesis],[mutagenesis],[mutagenesis]
carcino-embryonic antigen–cell adhesion molecule,GGP,craft,"[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]","[carcino-embryonic antigen–, 'Entity_Matching_Score :0.8298642635345459', CUI: C4476917, Name: Elevated carcinoembryonic antigen level
Definition: An increased blood concentration of the carcinoembryonic antigen (CEA). CEA is a member of the immunoglobulin supergene family. The human CEA gene family is clustered on chromosome 19q and comprises 29 genes. CEA is highly expressed in embryonic tissue and in some cancers, and is a widely used tumor marker. [PMID:11274010]
TUI(s): T033
Aliases: (total: 1): 
	 Increased plasma CEA]"
cellular membrane,CL,craft,[cellular membrane],[cellular membrane],[cellular membrane],[cellular membrane]
region,SO,craft,['Nan'],['Nan'],['Nan'],['Nan']
animals,TAXON,craft,[animals],[animals],[animals],[animals]
double-membrane vesicles,GO,craft,[double-membrane vesicles],[double-membrane vesicles],[double-membrane vesicles],[double-membrane vesicles]
cell-cell,GO,craft,[cell-cell],[cell-cell],[cell-cell],[cell-cell]
Coronavirus,TAXON,craft,[Coronavirus],[Coronavirus],[Coronavirus],[Coronavirus]
protein,CHEBI,craft,"[protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]"
genetic,SO,craft,[genetic],[genetic],[genetic],[genetic]
homology,SO,craft,[homology],[homology],[homology],[homology]
Genes,SO,craft,[Genes],[Genes],[Genes],[Genes]
cellular,CL,craft,[cellular],[cellular],[cellular],[cellular]
canine,TAXON,craft,"[canine, 'Entity_Matching_Score :0.7256335020065308', CUI: C4023546, Name: Abnormality of canine
Definition: An abnormality of canine tooth. [HPO:ibailleulforestier]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormality of canine, Abnormality of eye tooth]","[canine, 'Entity_Matching_Score :0.7256335020065308', CUI: C4023546, Name: Abnormality of canine
Definition: An abnormality of canine tooth. [HPO:ibailleulforestier]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormality of canine, Abnormality of eye tooth]","[canine, 'Entity_Matching_Score :0.7256335020065308', CUI: C4023546, Name: Abnormality of canine
Definition: An abnormality of canine tooth. [HPO:ibailleulforestier]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormality of canine, Abnormality of eye tooth]","[canine, 'Entity_Matching_Score :0.7256335020065308', CUI: C4023546, Name: Abnormality of canine
Definition: An abnormality of canine tooth. [HPO:ibailleulforestier]
TUI(s): T190
Aliases: (total: 2): 
	 Abnormality of canine, Abnormality of eye tooth]"
products,SO,craft,[products],[products],[products],[products]
gene proteins,SO,craft,[gene proteins],[gene proteins],[gene proteins],[gene proteins]
predicted proteins,SO,craft,[predicted],[predicted],[predicted],[predicted]
site,SO,craft,[site],[site],[site],[site]
vaccines,TAXON,craft,[vaccines],[vaccines],[vaccines],[vaccines]
viruses,TAXON,craft,[viruses],[viruses],[viruses],[viruses]
animal,TAXON,craft,[animal],[animal],[animal],[animal]
Virus,TAXON,craft,[Virus],[Virus],[Virus],[Virus]
clones,SO,craft,[clones],[clones],[clones],[clones]
mRNAs,CHEBI,craft,[mRNAs],[mRNAs],[mRNAs],[mRNAs]
mouse,TAXON,craft,[mouse],[mouse],[mouse],[mouse]
clone,SO,craft,[clone],[clone],[clone],[clone]
regulatory sequence,SO,craft,[regulatory sequence],[regulatory sequence],[regulatory sequence],[regulatory sequence]
RNA virus,SO,craft,[RNA virus],[RNA virus],[RNA virus],[RNA virus]
reverse,SO,craft,[reverse],[reverse],[reverse],[reverse]
RNA sequences,SO,craft,[RNA sequences],[RNA sequences],[RNA sequences],[RNA sequences]
cellular membranes,CL,craft,[cellular membranes],[cellular membranes],[cellular membranes],[cellular membranes]
residues,CHEBI,craft,[residues],[residues],[residues],[residues]
viral cell,TAXON,craft,[viral cell],[viral cell],[viral cell],[viral cell]
predicted,SO,craft,['Nan'],['Nan'],['Nan'],['Nan']
extracellular space,GO,craft,[extracellular space],[extracellular space],[extracellular space],[extracellular space]
coronavirus,TAXON,craft,[coronavirus],[coronavirus],[coronavirus],[coronavirus]
modification,SO,craft,[modification],[modification],[modification],[modification]
membrane integration,GO,craft,"[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]","[membrane, 'Entity_Matching_Score :0.7141388058662415', CUI: C0339543, Name: Epiretinal membrane
Definition: A membrane on the vitreal surface of the retina resulting from the proliferation of one or more of three retinal elements: (1) fibrous astrocytes; (2) fibrocytes; and (3) retinal pigment epithelial cells. Localized epiretinal membranes may occur at the posterior pole of the eye without clinical signs or may cause marked loss of vision as a result of covering, distorting, or detaching the fovea centralis. Epiretinal membranes may cause vascular leakage and secondary retinal edema. In younger individuals some membranes appear to be developmental in origin and occur in otherwise normal eyes. The majority occur in association with retinal holes, ocular concussions, retinal inflammation, or after ocular surgery. (Newell, Ophthalmology: Principles and Concepts, 7th ed, p291)
TUI(s): T020
Aliases: (total: 3): 
	 Epiretinal membranes, Macular pucker, Premacular fibrosis]"
sequence,SO,craft,"[sequence, 'Entity_Matching_Score :0.786029040813446', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence, 'Entity_Matching_Score :0.7124824523925781', CUI: C1276035, Name: Fetal akinesia sequence
Definition: A condition characterized by fetal akinesia and intrauterine growth restriction, that may be associated with mutation(s) in the RAPSN or DOK7 genes, encoding 43 kDa receptor-associated protein of the synapse and protein Dok-7, respectively.
TUI(s): T047
Aliases: (total: 1): 
	 Fetal akinesia]","[sequence, 'Entity_Matching_Score :0.786029040813446', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence, 'Entity_Matching_Score :0.7124824523925781', CUI: C1276035, Name: Fetal akinesia sequence
Definition: A condition characterized by fetal akinesia and intrauterine growth restriction, that may be associated with mutation(s) in the RAPSN or DOK7 genes, encoding 43 kDa receptor-associated protein of the synapse and protein Dok-7, respectively.
TUI(s): T047
Aliases: (total: 1): 
	 Fetal akinesia]","[sequence, 'Entity_Matching_Score :0.786029040813446', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence, 'Entity_Matching_Score :0.7124824523925781', CUI: C1276035, Name: Fetal akinesia sequence
Definition: A condition characterized by fetal akinesia and intrauterine growth restriction, that may be associated with mutation(s) in the RAPSN or DOK7 genes, encoding 43 kDa receptor-associated protein of the synapse and protein Dok-7, respectively.
TUI(s): T047
Aliases: (total: 1): 
	 Fetal akinesia]","[sequence, 'Entity_Matching_Score :0.786029040813446', CUI: C0031900, Name: Robin sequence
Definition: Congenital malformation characterized by MICROGNATHIA or RETROGNATHIA; GLOSSOPTOSIS and CLEFT PALATE. The mandibular abnormalities often result in difficulties in sucking and swallowing. The syndrome may be isolated or associated with other syndromes (e.g., ANDERSEN SYNDROME; CAMPOMELIC DYSPLASIA). Developmental mis-expression of SOX9 TRANSCRIPTION FACTOR gene on chromosome 17q and its surrounding region is associated with the syndrome.
TUI(s): T019
Aliases: (total: 5): 
	 Pierre-robin anomaly, Pierre-robin malformation, Pierre-robin deformity, Pierre Robin sequence, Pierre-Robin sequence, 'Entity_Matching_Score :0.7124824523925781', CUI: C1276035, Name: Fetal akinesia sequence
Definition: A condition characterized by fetal akinesia and intrauterine growth restriction, that may be associated with mutation(s) in the RAPSN or DOK7 genes, encoding 43 kDa receptor-associated protein of the synapse and protein Dok-7, respectively.
TUI(s): T047
Aliases: (total: 1): 
	 Fetal akinesia]"
subgenomic negative-strand RNAs,SO,craft,[subgenomic negative-strand RNAs],[subgenomic negative-strand RNAs],[subgenomic negative-strand RNAs],[subgenomic negative-strand RNAs]
Viral,TAXON,craft,[Viral],[Viral],[Viral],[Viral]
enzymes,SO,craft,"[enzymes, 'Entity_Matching_Score :0.7942391037940979', CUI: C4022922, Name: Abnormal enzyme/coenzyme activity
Definition: An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme. [HPO:probinson, MP:0005584]
TUI(s): T033
Aliases: (total: 0): 
	 ]","[enzymes, 'Entity_Matching_Score :0.7942391037940979', CUI: C4022922, Name: Abnormal enzyme/coenzyme activity
Definition: An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme. [HPO:probinson, MP:0005584]
TUI(s): T033
Aliases: (total: 0): 
	 ]","[enzymes, 'Entity_Matching_Score :0.7942391037940979', CUI: C4022922, Name: Abnormal enzyme/coenzyme activity
Definition: An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme. [HPO:probinson, MP:0005584]
TUI(s): T033
Aliases: (total: 0): 
	 ]","[enzymes, 'Entity_Matching_Score :0.7942391037940979', CUI: C4022922, Name: Abnormal enzyme/coenzyme activity
Definition: An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme. [HPO:probinson, MP:0005584]
TUI(s): T033
Aliases: (total: 0): 
	 ]"
SCoV replicase polyprotein cleavage sites,GGP,craft,[SCoV replicase polyprotein cleavage sites],[SCoV replicase polyprotein cleavage sites],[SCoV replicase polyprotein cleavage sites],[SCoV replicase polyprotein cleavage sites]
Ziebuhr,SO,craft,[Ziebuhr],[Ziebuhr],[Ziebuhr],[Ziebuhr]
proteins,CHEBI,craft,[proteins],[proteins],[proteins],[proteins]
murine,TAXON,craft,[murine],[murine],[murine],[murine]
vesicle,GO,craft,['Nan'],['Nan'],['Nan'],['Nan']
ER/Golgi virosomes,GO,craft,[ER/Golgi],[ER/Golgi],[ER/Golgi],[ER/Golgi]
MHV replicase gene,GGP,craft,[MHV replicase],[MHV replicase],[MHV replicase],[MHV replicase]
bacterial,TAXON,craft,"[bacterial, 'Entity_Matching_Score :0.7266241312026978', CUI: C0004659, Name: Bacteriuria
Definition: The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.
TUI(s): T047
Aliases: (total: 2): 
	 High urine bacteria, Bacteria in urine]","[bacterial, 'Entity_Matching_Score :0.7266241312026978', CUI: C0004659, Name: Bacteriuria
Definition: The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.
TUI(s): T047
Aliases: (total: 2): 
	 High urine bacteria, Bacteria in urine]","[bacterial, 'Entity_Matching_Score :0.7266241312026978', CUI: C0004659, Name: Bacteriuria
Definition: The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.
TUI(s): T047
Aliases: (total: 2): 
	 High urine bacteria, Bacteria in urine]","[bacterial, 'Entity_Matching_Score :0.7266241312026978', CUI: C0004659, Name: Bacteriuria
Definition: The presence of bacteria in the urine which is normally bacteria-free. These bacteria are from the URINARY TRACT and are not contaminants of the surrounding tissues. Bacteriuria can be symptomatic or asymptomatic. Significant bacteriuria is an indicator of urinary tract infection.
TUI(s): T047
Aliases: (total: 2): 
	 High urine bacteria, Bacteria in urine]"
antivirals,CHEBI,craft,[antivirals],[antivirals],[antivirals],[antivirals]
strand RNA genome,SO,craft,[strand],[strand],[strand],[strand]
Protein,CHEBI,craft,"[Protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[Protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[Protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]","[Protein, 'Entity_Matching_Score :0.790542483329773', CUI: C0033687, Name: Proteinuria
Definition: The presence of proteins in the urine, an indicator of KIDNEY DISEASES.
TUI(s): T033
Aliases: (total: 2): 
	 Protein in urine, High urine protein levels]"
vaccinia viruses,TAXON,craft,[vaccinia viruses],[vaccinia viruses],[vaccinia viruses],[vaccinia viruses]
Golgi,GO,craft,[Golgi],[Golgi],[Golgi],[Golgi]
substitutions,SO,craft,[substitutions],[substitutions],[substitutions],[substitutions]
fragment,SO,craft,[fragment],[fragment],[fragment],[fragment]
fusion peptide,SO,craft,[fusion peptide],[fusion peptide],[fusion peptide],[fusion peptide]
enzymatic,SO,craft,[enzymatic],[enzymatic],[enzymatic],[enzymatic]
positive-strand genome RNA,SO,craft,[positive-strand genome RNA],[positive-strand genome RNA],[positive-strand genome RNA],[positive-strand genome RNA]
plasmid,SO,craft,[plasmid],[plasmid],[plasmid],[plasmid]
co-,CHEBI,craft,[co-],[co-],[co-],[co-]
mutation,SO,craft,"[mutation, 'Entity_Matching_Score :0.7583446502685547', CUI: C0544886, Name: Somatic mutation
Definition: An alteration in DNA that occurs after conception. Somatic mutations can occur in any of the cells of the body except the germ cells (sperm and egg) and therefore are not passed on to children. These alterations can (but do not always) cause cancer or other diseases.
TUI(s): T049
Aliases: (total: 0): 
	 ]","[mutation, 'Entity_Matching_Score :0.7583446502685547', CUI: C0544886, Name: Somatic mutation
Definition: An alteration in DNA that occurs after conception. Somatic mutations can occur in any of the cells of the body except the germ cells (sperm and egg) and therefore are not passed on to children. These alterations can (but do not always) cause cancer or other diseases.
TUI(s): T049
Aliases: (total: 0): 
	 ]","[mutation, 'Entity_Matching_Score :0.7583446502685547', CUI: C0544886, Name: Somatic mutation
Definition: An alteration in DNA that occurs after conception. Somatic mutations can occur in any of the cells of the body except the germ cells (sperm and egg) and therefore are not passed on to children. These alterations can (but do not always) cause cancer or other diseases.
TUI(s): T049
Aliases: (total: 0): 
	 ]","[mutation, 'Entity_Matching_Score :0.7583446502685547', CUI: C0544886, Name: Somatic mutation
Definition: An alteration in DNA that occurs after conception. Somatic mutations can occur in any of the cells of the body except the germ cells (sperm and egg) and therefore are not passed on to children. These alterations can (but do not always) cause cancer or other diseases.
TUI(s): T049
Aliases: (total: 0): 
	 ]"
fragments,SO,craft,[fragments],[fragments],[fragments],[fragments]
nontranslated region,SO,craft,[nontranslated region],[nontranslated region],[nontranslated region],[nontranslated region]
cell surface,GO,craft,[cell surface],[cell surface],[cell surface],[cell surface]
genes,SO,craft,[genes],[genes],[genes],[genes]
virion,GO,craft,[virion],[virion],[virion],[virion]
motifs,SO,craft,['Nan'],['Nan'],['Nan'],['Nan']
intracellular,GO,craft,"[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]","[intracellular, 'Entity_Matching_Score :0.7782153487205505', CUI: C4025593, Name: Increased intracellular sodium
Definition: An abnormally increased sodium concentration in the cytosol. [HPO:gcarletti]
TUI(s): T033
Aliases: (total: 2): 
	 High intracellular Na, Increased intracellular Na+ levels]"
host-specific,CL,craft,[host-specific],[host-specific],[host-specific],[host-specific]
cytoplasmic,GO,craft,[cytoplasmic],[cytoplasmic],[cytoplasmic],[cytoplasmic]
subgenomic,SO,craft,[subgenomic],[subgenomic],[subgenomic],[subgenomic]
toxic,CHEBI,craft,[toxic],[toxic],[toxic],[toxic]
Complex,GO,craft,"[Complex, 'Entity_Matching_Score :0.8102859854698181', CUI: C4476580, Name: Abnormal QRS complex
Definition: An anomaly of the complex formed by the Q, R, and S waves, which occur in rapid succession on the electrocardiogram. []
TUI(s): T033
Aliases: (total: 0): 
	 ]","[Complex, 'Entity_Matching_Score :0.8102859854698181', CUI: C4476580, Name: Abnormal QRS complex
Definition: An anomaly of the complex formed by the Q, R, and S waves, which occur in rapid succession on the electrocardiogram. []
TUI(s): T033
Aliases: (total: 0): 
	 ]","[Complex, 'Entity_Matching_Score :0.8102859854698181', CUI: C4476580, Name: Abnormal QRS complex
Definition: An anomaly of the complex formed by the Q, R, and S waves, which occur in rapid succession on the electrocardiogram. []
TUI(s): T033
Aliases: (total: 0): 
	 ]","[Complex, 'Entity_Matching_Score :0.8102859854698181', CUI: C4476580, Name: Abnormal QRS complex
Definition: An anomaly of the complex formed by the Q, R, and S waves, which occur in rapid succession on the electrocardiogram. []
TUI(s): T033
Aliases: (total: 0): 
	 ]"
variants,SO,craft,[variants],[variants],[variants],[variants]
